City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Bubaque,GW,2021-03-29 18:16:32,11.2833,-15.8333,78.21,66,21,14.83
210,Uinskoye,RU,2021-03-29 18:16:32,56.8817,56.5813,31.42,93,100,4.07
211,Rio Gallegos,AR,2021-03-29 18:16:32,-51.6226,-69.2181,66.2,39,40,2.3
212,Saint Anthony,US,2021-03-29 18:16:33,45.0205,-93.218,64.4,36,1,23.02
213,Caravelas,BR,2021-03-29 18:16:33,-17.7125,-39.2481,85.96,54,0,10.49
214,Waddan,LY,2021-03-29 18:16:33,29.1614,16.139,67.62,20,81,11.41
215,Barra Do Garcas,BR,2021-03-29 18:16:34,-15.89,-52.2567,95.0,31,20,5.75
216,Bozova,TR,2021-03-29 18:16:34,37.3625,38.5267,50.0,43,0,3.44
217,Aasiaat,GL,2021-03-29 18:16:35,68.7098,-52.8699,2.93,77,92,13.42
218,Mayenne,FR,2021-03-29 18:16:35,48.3333,-0.6667,66.2,37,0,2.3
219,Katete,UG,2021-03-29 18:16:35,-0.7818,29.7544,63.93,89,62,3.56
220,Teruel,ES,2021-03-29 18:16:36,40.6667,-0.6667,59.0,41,0,21.85
221,Inirida,CO,2021-03-29 18:16:36,3.8653,-67.9239,85.1,73,90,1.48
222,Sechura,PE,2021-03-29 18:16:36,-5.5569,-80.8222,82.06,55,73,9.89
223,Ouesso,CG,2021-03-29 18:16:37,1.6136,16.0517,75.33,81,81,2.33
224,Boden,SE,2021-03-29 18:16:37,65.8252,21.6886,33.8,100,90,9.22
225,Kanye,BW,2021-03-29 18:16:38,-24.9667,25.3327,67.75,52,77,6.6
226,Luanda,AO,2021-03-29 18:13:14,-8.8368,13.2343,80.6,78,20,6.91
227,Saint George,US,2021-03-29 18:16:40,37.1041,-113.5841,70.0,27,1,3.53
228,Jonkoping,SE,2021-03-29 18:16:42,57.7814,14.1562,48.2,100,90,19.57
229,Maniitsoq,GL,2021-03-29 18:16:45,65.4167,-52.9,20.64,57,99,14.45
230,Bud,US,2021-03-29 18:16:46,39.447,-86.1758,55.99,47,0,6.78
231,Jatai,BR,2021-03-29 18:16:46,-17.8814,-51.7144,89.51,31,0,6.4
232,La Primavera,CO,2021-03-29 18:16:46,5.4906,-70.4092,91.27,43,88,9.04
233,Calama,CL,2021-03-29 18:16:47,-22.4667,-68.9333,75.2,14,0,23.02
234,Fraga,ES,2021-03-29 18:16:47,41.5229,0.3489,64.4,45,0,6.91
235,Trelew,AR,2021-03-29 18:12:15,-43.249,-65.3051,75.56,32,16,16.31
236,Calabar,NG,2021-03-29 18:16:48,4.9517,8.322,80.94,76,38,8.03
237,Khorramshahr,IR,2021-03-29 18:16:48,30.4397,48.1664,66.2,34,0,6.91
238,Sur,OM,2021-03-29 18:16:48,22.5667,59.5289,84.18,41,8,7.49
239,Llallagua,BO,2021-03-29 18:16:49,-18.4167,-66.6333,62.6,55,75,9.22
240,Rosario,AR,2021-03-29 18:11:59,-32.9468,-60.6393,80.01,50,40,9.22
241,Sambava,MG,2021-03-29 18:16:49,-14.2667,50.1667,79.16,85,100,1.86
242,Ponta Delgada,PT,2021-03-29 18:16:49,37.7333,-25.6667,60.8,82,75,11.5
243,Codrington,AU,2021-03-29 18:16:50,-38.2667,141.9667,51.12,84,37,3.29
244,Tamale,GH,2021-03-29 18:16:50,9.4008,-0.8393,98.26,9,46,3.18
245,Axim,GH,2021-03-29 18:16:16,4.8699,-2.2405,81.57,79,30,8.61
246,Batsfjord,NO,2021-03-29 18:16:51,70.6345,29.7185,35.6,86,40,14.97
247,Forio,IT,2021-03-29 18:16:51,40.7342,13.8646,61.0,52,49,1.99
248,Kisangani,CD,2021-03-29 18:16:51,0.5167,25.2,72.28,94,92,6.85
249,Karatau,KZ,2021-03-29 18:16:52,43.1667,70.4667,38.93,83,90,8.34
250,Faranah,GN,2021-03-29 18:16:52,10.0404,-10.7434,95.23,28,71,6.53
251,Husavik,IS,2021-03-29 18:16:52,66.0449,-17.3389,28.4,80,90,23.02
252,Boende,CD,2021-03-29 18:16:53,-0.2167,20.8667,74.57,87,97,1.07
253,Saint-Pierre,RE,2021-03-29 18:16:53,-21.3393,55.4781,78.8,78,75,4.61
254,Puerto Baquerizo Moreno,EC,2021-03-29 18:16:54,-0.9,-89.6,80.6,83,40,9.22
255,Sayyan,YE,2021-03-29 18:16:54,15.1718,44.3244,60.17,23,2,7.07
256,Kochi,IN,2021-03-29 18:16:54,9.9399,76.2602,75.2,88,75,2.3
257,Bogatoye,RU,2021-03-29 18:16:55,53.0601,51.3325,20.17,99,56,3.87
258,Mehran,IR,2021-03-29 18:16:55,33.1222,46.1646,44.6,42,0,4.61
259,Tubmanburg,LR,2021-03-29 18:16:56,6.8708,-10.8172,82.27,76,98,6.04
260,Raga,SS,2021-03-29 18:16:56,8.4596,25.678,80.85,15,0,4.63
261,Gobabis,NA,2021-03-29 18:16:57,-22.45,18.9667,66.81,68,82,13.73
262,Guhagar,IN,2021-03-29 18:16:57,17.4842,73.1929,77.5,81,11,4.18
263,Eenhana,NA,2021-03-29 18:16:57,-17.4667,16.3333,77.0,61,55,5.75
264,San Carlos De Bariloche,AR,2021-03-29 18:16:58,-41.1456,-71.3082,81.0,10,0,6.91
265,Baneh,IR,2021-03-29 18:16:58,35.9975,45.8853,41.99,48,0,1.7
266,Dhule,IN,2021-03-29 18:16:58,20.9,74.7833,89.71,16,42,10.71
267,Abomey,BJ,2021-03-29 18:16:59,7.1829,1.9912,87.57,46,1,11.27
268,Sao Filipe,CV,2021-03-29 18:16:59,14.8961,-24.4956,69.42,75,1,13.29
269,Road Town,VG,2021-03-29 18:15:54,18.4167,-64.6167,87.8,65,40,18.41
270,Sneek,NL,2021-03-29 18:17:00,53.033,5.6589,53.01,83,17,13.0
271,La Rioja,ES,2021-03-29 18:15:04,42.25,-2.5,68.0,32,0,16.11
272,San Pedro,PH,2021-03-29 18:17:00,14.35,121.0167,82.4,69,20,5.75
273,Baghdad,IQ,2021-03-29 18:17:00,33.3406,44.4009,59.0,29,0,4.61
274,Muravlenko,RU,2021-03-29 18:17:01,63.7898,74.523,-9.62,100,53,6.13
275,Sokoto,NG,2021-03-29 18:17:01,13.0609,5.239,89.28,11,2,9.04
276,Muros,ES,2021-03-29 18:17:01,42.7762,-9.0603,64.0,51,0,9.22
277,Bushehr,IR,2021-03-29 18:17:02,28.9684,50.8385,69.8,68,0,13.8
278,Mahajanga,MG,2021-03-29 18:17:02,-15.7167,46.3167,82.4,78,20,6.91
279,Fort-Shevchenko,KZ,2021-03-29 18:17:03,44.5086,50.263,41.85,73,6,6.91
280,Salinopolis,BR,2021-03-29 18:13:56,-0.6136,-47.3561,80.22,86,96,11.27
281,Pozo Colorado,PY,2021-03-29 18:17:03,-23.4923,-58.7972,84.58,44,75,7.18
282,Patnos,TR,2021-03-29 18:17:03,39.2336,42.8634,28.22,63,0,3.31
283,Usinsk,RU,2021-03-29 18:17:04,65.9939,57.5281,33.06,98,100,12.75
284,Goure,NE,2021-03-29 18:17:04,13.9835,10.2704,82.0,7,0,4.0
285,Timmins,CA,2021-03-29 18:15:12,48.4669,-81.3331,30.2,47,75,5.75
286,Pindiga,NG,2021-03-29 18:17:05,9.9833,10.9333,91.4,11,7,6.91
287,Vardo,NO,2021-03-29 18:17:05,70.3705,31.1107,39.2,75,75,16.17
288,Cabedelo,BR,2021-03-29 18:17:06,-6.9811,-34.8339,86.0,74,40,11.5
