,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
298,La Palma,US,33.8464,-118.0467,62.6,63,75,10.36,broken clouds
299,Kautokeino,NO,69.0125,23.0412,19.74,82,25,5.44,scattered clouds
300,Mangai,CD,-4.05,19.5333,72.64,94,90,3.49,light rain
301,Kisanga,TZ,-7.4362,37.7034,73.38,95,92,1.54,moderate rain
302,Goderich,CA,43.7501,-81.7165,48.2,53,0,12.66,clear sky
303,Barra,BR,-11.0894,-43.1417,90.55,31,85,4.74,overcast clouds
304,Maldonado,UY,-34.6667,-54.9167,75.2,57,20,9.22,few clouds
305,Bluefields,NI,12.0137,-83.7635,82.27,79,92,11.9,overcast clouds
306,Lodwar,KE,3.1191,35.5973,91.02,32,49,10.18,scattered clouds
307,Gantt,US,34.8001,-82.4243,81.0,39,1,3.44,clear sky
308,Husavik,IS,66.0449,-17.3389,50.0,53,75,18.41,broken clouds
309,Keti Bandar,PK,24.1447,67.4497,80.65,66,1,12.77,clear sky
310,Boa Vista,BR,2.8197,-60.6733,89.6,55,75,4.61,broken clouds
311,Nicoya,CR,10.1483,-85.452,91.4,49,40,17.27,scattered clouds
312,Brits,ZA,-25.6347,27.7802,75.2,33,0,5.75,clear sky
313,Gazanjyk,TM,39.2446,55.5154,73.94,18,52,20.31,broken clouds
314,Baijiantan,CN,45.6333,85.1833,58.23,18,0,8.75,clear sky
315,Pachino,IT,36.7186,15.0907,59.0,58,75,8.05,broken clouds
316,Makaleng,BW,-20.9,27.2833,75.2,31,20,8.05,few clouds
317,Marsa Matruh,EG,31.3525,27.2453,68.0,52,0,10.36,clear sky
318,Chilca,PE,-12.5211,-76.7372,69.8,78,75,8.05,broken clouds
319,Bonavista,CA,48.6499,-53.1147,36.0,86,85,5.75,overcast clouds
320,Bure,ET,10.7,37.0667,70.03,42,95,4.56,overcast clouds
321,Makurdi,NG,7.7411,8.5121,93.38,37,99,12.66,overcast clouds
322,General Pico,AR,-35.6566,-63.7568,72.66,53,0,14.32,clear sky
323,Mitu,CO,1.1983,-70.1733,72.99,96,100,2.13,overcast clouds
324,Bud,US,39.447,-86.1758,59.0,38,1,12.66,clear sky
325,Toktogul,KG,41.8708,72.9402,55.24,56,15,5.01,few clouds
326,Beloha,MG,-25.1667,45.05,74.61,83,6,12.24,clear sky
327,Varna,BG,43.2167,27.9167,51.8,66,40,11.5,scattered clouds
328,Gayeri,BF,12.6497,0.4931,103.69,11,43,8.59,scattered clouds
329,Gaeta,IT,41.2183,13.5628,59.0,55,66,1.01,broken clouds
330,Richards Bay,ZA,-28.783,32.0377,73.8,90,12,0.36,few clouds
331,Methoni,GR,36.8197,21.7049,64.0,77,20,14.41,few clouds
332,Lasa,IT,46.6166,10.7002,57.2,37,20,5.75,few clouds
333,Pangnirtung,CA,66.1451,-65.7125,6.8,78,90,4.61,light snow
334,Bandarbeyla,SO,9.4942,50.8122,81.19,73,82,11.1,broken clouds
